City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
252,High Rock,BS,78.8,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
253,Buchanan,LR,82.4,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
257,Inhambane,MZ,82.4,light rain,-23.865,35.3833,Oceano
260,Katobu,ID,75.58,broken clouds,-4.9408,122.5276,La Ode Husein
266,Oranjestad,AW,84.2,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
267,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
269,Bambanglipuro,ID,76.12,moderate rain,-7.95,110.2833,Puri Brata
271,Coacotla,MX,80.6,broken clouds,17.9333,-94.675,c. adolfo lopez mateos
272,Sucua,EC,82.4,light rain,-2.4667,-78.1667,Hotel Barza
274,Namatanai,PG,80.17,light rain,-3.6667,152.4333,Namatanai Hotel
275,Vao,NC,77.05,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
278,Axim,GH,80.47,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
279,San Policarpo,PH,79.97,moderate rain,12.1791,125.5072,JM Lodge
288,Cancun,MX,84.0,few clouds,21.1743,-86.8466,Hotel Tankah Cancun
294,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
298,Mogadishu,SO,78.08,clear sky,2.0371,45.3438,Hotel Juba
302,Samarai,PG,81.77,overcast clouds,-10.6167,150.6667,Nuli Sapi
306,Port Hedland,AU,78.8,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
307,Hambantota,LK,77.0,clear sky,6.1241,81.1185,Bungalow 63
308,Alice Springs,AU,77.0,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
310,Vaitape,PF,80.98,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
320,Tera,NE,82.83,clear sky,14.0078,0.7531,Hotel Dar es salam
325,Lazaro Cardenas,MX,82.38,clear sky,17.9583,-102.2,Collection O Hotel Quinta Antigua
328,Port Keats,AU,81.73,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
332,Imbituba,BR,82.4,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
336,Amambai,BR,79.68,clear sky,-23.1042,-55.2258,Keren Hotel
344,San Vicente,AR,87.8,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
347,Hualmay,PE,76.75,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
348,Tiarei,PF,82.4,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
350,Boa Vista,BR,87.8,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
351,Galesong,ID,75.2,few clouds,-5.3166,119.3661,Sapriadi Appy
356,Boueni,YT,82.4,few clouds,-12.9025,45.0761,The feet in water
358,Macae,BR,75.2,light rain,-22.3708,-41.7869,Personal Hotel
367,Cafelandia,BR,82.99,scattered clouds,-21.8025,-49.61,Therezinha Pernet Mascaro
373,Farafangana,MG,79.83,overcast clouds,-22.8167,47.8333,Miarina
374,Kokopo,PG,77.56,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
